model,dtype,n_steps,kl_mean,js_mean,flip_rate,prompt_len
llama2,fp16,32,6.9623264096208e-06,1.7475742605244093e-06,0.0,172
llama2,fp32,32,3.5129908815267896e-08,5.930997126258643e-09,0.0,172
llama2,fp16,32,1.2687809443079345e-06,3.1777261655374645e-07,0.0,110
llama2,fp32,32,1.885503720516768e-08,4.065842842959633e-09,0.0,110
llama2,fp16,32,4.198294531576607e-06,1.0519801855179978e-06,0.0,75
llama2,fp32,32,3.735975995927676e-08,9.65579596660937e-09,0.0,75
llama2,fp16,32,2.7856267105774712e-06,6.920322732570372e-07,0.0,77
llama2,fp32,32,1.1186886569869436e-08,3.016705445342549e-09,0.0,77
llama2,fp16,32,1.769297974352213e-06,4.41557284236449e-07,0.0,53
llama2,fp32,32,1.7590218381706435e-08,4.905732885890357e-09,0.0,53
llama2,fp16,32,3.2805979219840964e-06,8.20935129958178e-07,0.0,51
llama2,fp32,32,1.95583929681227e-08,6.6109869245600805e-09,0.0,51
llama2,fp16,32,1.4573851533361548e-06,3.6003936323969477e-07,0.0,65
llama2,fp32,32,1.675133757400582e-08,5.9568267471443725e-09,0.0,65
llama2,fp16,32,5.583392639341156e-06,1.3870563742302e-06,0.0,53
llama2,fp32,32,2.83875540608991e-08,9.423311617129393e-09,0.0,53
llama2,fp16,32,5.833189898662994e-06,1.4618417535361417e-06,0.0,64
llama2,fp32,32,2.8097828230766453e-08,4.984310492117672e-09,0.0,64
llama2,fp16,32,4.652829549645077e-06,1.1603550414962527e-06,0.0,115
llama2,fp32,32,2.4281567419931482e-08,4.69352628680933e-09,0.0,115
llama2,fp16,32,2.535586528074063e-06,6.347635970183063e-07,0.0,88
llama2,fp32,32,2.3070265336988527e-08,2.2644127042198425e-09,0.0,88
llama2,fp16,32,3.5227268658788446e-06,8.802597933343925e-07,0.0,74
llama2,fp32,32,2.208983118645591e-08,1.0554405641127751e-08,0.0,74
llama2,fp16,32,3.957056041059559e-06,1.0055013144882885e-06,0.0,80
llama2,fp32,32,3.832926376290402e-08,6.867767722573692e-09,0.0,80
llama2,fp16,32,8.562357048269575e-06,2.1267009066017195e-06,0.0,44
llama2,fp32,32,3.05588044452465e-08,9.492593194132537e-09,0.0,44
llama2,fp16,32,5.752430282168568,0.3181760944155414,0.5,100
llama2,fp32,32,3.9097747150940165e-08,9.966264979954786e-09,0.0,100
llama2,fp16,32,7.605303494084836e-06,1.8944321819036603e-06,0.0,133
llama2,fp32,32,3.039873738841514e-08,8.026883928369255e-09,0.0,133
llama2,fp16,32,1.0354421555724969e-06,2.5265467246127216e-07,0.0,46
llama2,fp32,32,2.2167801320277514e-08,6.82649779065736e-09,0.0,46
llama2,fp16,32,6.946978967192763e-06,1.7375216998516407e-06,0.0,68
llama2,fp32,32,2.761057769917752e-08,1.1207690719938768e-08,0.0,68
llama2,fp16,32,1.442908358351147e-06,3.668497601250209e-07,0.0,74
llama2,fp32,32,2.7723457252104566e-08,4.724435970909768e-09,0.0,74
llama2,fp16,32,1.4351198995843362e-06,3.560312852868286e-07,0.0,49
llama2,fp32,32,2.0213131800826158e-08,2.3411608225174635e-09,0.0,49
llama2,fp16,32,2.8858628138284104e-06,7.126352048747453e-07,0.0,67
llama2,fp32,32,3.915471062307385e-08,3.855925762713541e-09,0.0,67
llama2,fp16,32,1.2171854644194013e-06,3.102951426914302e-07,0.0,71
llama2,fp32,32,2.5375239659508608e-08,4.5222965545932414e-09,0.0,71
llama2,fp16,32,6.105256796118397e-06,1.5124790828935364e-06,0.0,61
llama2,fp32,32,1.8332724754932528e-08,7.891844615304233e-09,0.0,61
llama2,fp16,32,1.8603479627898878e-06,4.6012036297726766e-07,0.0,63
llama2,fp32,32,2.3849400766773332e-08,4.309746486769184e-09,0.0,63
llama2,fp16,32,3.7992658123986445e-06,9.556374414299018e-07,0.0,85
llama2,fp32,32,3.191664649238035e-08,9.621597941988913e-09,0.0,85
llama2,fp16,32,2.7502166958237595e-06,6.794417607633441e-07,0.0,70
llama2,fp32,32,3.0347942950315066e-08,4.479930995615611e-09,0.0,70
llama2,fp16,32,1.8907452847827244e-06,4.7598675170790194e-07,0.0,62
llama2,fp32,32,2.5793040812557844e-08,6.584674341154548e-09,0.0,62
llama2,fp16,32,1.1134513013821845e-06,2.7806491498250097e-07,0.0,53
llama2,fp32,32,2.0053112323448197e-08,2.659047550722382e-09,0.0,53
llama2,fp16,32,3.1639682114281698e-06,7.884126310420125e-07,0.0,78
llama2,fp32,32,2.3584967387933753e-08,9.61359519768834e-09,0.0,78
llama2,fp16,32,4.262172473401549e-06,1.0633696711434548e-06,0.0,50
llama2,fp32,32,2.7563205023083126e-08,8.36931857909999e-09,0.0,50
llama2,fp16,32,1.3505127798296712e-06,3.380233543071043e-07,0.0,73
llama2,fp32,32,1.2064379122447844e-08,7.561397911775257e-09,0.0,73
llama2,fp16,32,5.585847489442131e-06,1.3968436016753571e-06,0.0,108
llama2,fp32,32,2.338975516047448e-08,6.987088352339299e-09,0.0,108
llama2,fp16,32,1.7403805439575315e-06,4.3111615584401353e-07,0.0,49
llama2,fp32,32,3.182733460116438e-08,3.600411073445553e-09,0.0,49
llama2,fp16,32,1.0760169797396912e-06,2.716472700670103e-07,0.0,103
llama2,fp32,32,1.2993737863453703e-08,4.384046892874638e-09,0.0,103
llama2,fp16,32,1.028744534892212e-05,2.572645158238629e-06,0.0,78
llama2,fp32,32,4.648321402789257e-08,1.4736249248636923e-08,0.0,78
llama2,fp16,32,7.761698934238837e-06,1.9335548694376925e-06,0.0,106
llama2,fp32,32,3.8993370877690725e-08,1.035769904263531e-08,0.0,106
llama2,fp16,32,5.459612202329822e-07,1.3526209075021e-07,0.0,164
llama2,fp32,32,1.68148785034683e-08,2.8532939518044476e-09,0.0,164
llama2,fp16,32,7.579024815740354e-06,1.8959577126054228e-06,0.0,106
llama2,fp32,32,1.669972288231847e-08,1.0692210325458085e-08,0.0,106
llama2,fp16,32,5.40373634017044e-06,1.3597453449865071e-06,0.0,90
llama2,fp32,32,2.028607740123256e-08,2.102799413761236e-09,0.0,90
llama2,fp16,32,8.005501530461423e-06,1.9969388330709492e-06,0.0,94
llama2,fp32,32,1.8499385261508405e-08,7.968672457135673e-09,0.0,94
llama2,fp16,32,8.000412583086813e-06,2.0111847103265745e-06,0.0,56
llama2,fp32,32,4.1146414053727653e-08,1.475182902915817e-08,0.0,56
llama2,fp16,32,7.597756898292118e-06,1.893970448696436e-06,0.0,61
llama2,fp32,32,2.2118782389002334e-08,1.1243549619122106e-08,0.0,61
llama2,fp16,32,1.5674911092444788e-06,3.862005908406019e-07,0.0,67
llama2,fp32,32,2.476930649822351e-08,3.917551425619559e-09,0.0,67
llama2,fp16,32,3.0065641043464097e-06,7.57074601120955e-07,0.0,60
llama2,fp32,32,2.46907615533698e-08,6.734529628350718e-09,0.0,60
llama2,fp16,32,1.140584011904977e-06,2.758401116409459e-07,0.0,52
llama2,fp32,32,4.434545466946993e-08,3.967873108204345e-09,0.0,52
llama2,fp16,32,5.762421930843864e-06,1.4283075649920707e-06,0.0,74
llama2,fp32,32,2.9849039322269594e-08,9.024995264571983e-09,0.0,74
llama2,fp16,32,1.55788683908753e-06,3.7640630712321155e-07,0.0,115
llama2,fp32,32,2.1025950546621486e-08,3.781025333972343e-09,0.0,115
llama2,fp16,32,5.405810134195832e-06,1.352011646908735e-06,0.0,95
llama2,fp32,32,2.2190119255971474e-08,6.957580359068238e-09,0.0,95
llama2,fp16,32,1.204902668749952e-06,2.9754094049705415e-07,0.0,66
llama2,fp32,32,2.5229119517480858e-08,2.557213269263614e-09,0.0,66
llama2,fp16,32,7.242429498788283e-06,1.8034859330384734e-06,0.0,116
