date,product,region,sales_rep,revenue,units_sold,customer_rating,discount_pct
2023-01-01,Watch,South,Bob,49635.84,15,4.1,18
2023-01-02,Headphones,West,Alice,41671.64,4,3.9,
2023-01-03,Tablet,West,David,25918.87,45,4.9,
2023-01-04,Headphones,North,Carol,58517.8,12,4.2,23
2023-01-05,Headphones,South,Bob,37909.55,32,3.7,19
2023-01-06,Phone,North,Alice,46988.12,32,3.2,28
2023-01-07,Tablet,East,Eve,54304.61,28,3.3,
2023-01-08,Tablet,East,David,18721.74,13,3.5,17
2023-01-09,Tablet,North,Bob,22079.77,31,3.5,9
2023-01-10,Headphones,West,Bob,45503.92,14,4.7,8
2023-01-11,Watch,West,Carol,56818.45,20,4.1,24
2023-01-12,Tablet,North,Carol,61160.57,18,4.0,7
2023-01-13,Headphones,North,Eve,26130.28,29,3.2,25
2023-01-14,Phone,East,Eve,59549.47,6,4.7,
2023-01-15,Watch,West,Alice,46323.96,32,4.4,28
2023-01-16,Phone,North,Alice,36752.64,29,3.1,
2023-01-17,Watch,East,Eve,40271.72,43,4.4,16
2023-01-18,Headphones,West,Eve,62027.86,2,4.1,1
2023-01-19,Laptop,South,David,54110.09,23,3.2,
2023-01-20,Watch,East,Carol,50754.6,19,3.9,25
2023-01-21,Phone,West,Alice,53652.44,31,4.0,
2023-01-22,Headphones,West,Carol,63921.47,5,3.3,27
2023-01-23,Watch,East,Carol,48543.51,19,4.9,29
2023-01-24,Laptop,South,Eve,50814.78,34,4.7,
2023-01-25,Laptop,East,David,67072.56,10,4.3,4
2023-01-26,Tablet,West,Bob,45026.2,25,3.9,17
2023-01-27,Tablet,North,David,59272.11,2,3.8,
2023-01-28,Phone,North,David,42444.43,11,4.3,
2023-01-29,Watch,East,Carol,43761.99,31,4.1,8
2023-01-30,Watch,West,David,48439.25,15,3.1,16
2023-01-31,Tablet,North,Alice,57729.09,9,4.0,26
2023-02-01,Watch,West,Carol,67912.73,23,4.6,
2023-02-02,Watch,East,Alice,51448.18,19,3.9,
2023-02-03,Laptop,North,Bob,27502.45,9,3.1,6
